geoplugin_request,geoplugin_status,geoplugin_delay,geoplugin_credit,geoplugin_city,geoplugin_region,geoplugin_regionCode,geoplugin_regionName,geoplugin_areaCode,geoplugin_dmaCode,geoplugin_countryCode,geoplugin_countryName,geoplugin_inEU,geoplugin_euVATrate,geoplugin_continentCode,geoplugin_continentName,geoplugin_latitude,geoplugin_longitude,geoplugin_locationAccuracyRadius,geoplugin_timezone,geoplugin_currencyCode,geoplugin_currencySymbol,geoplugin_currencySymbol_UTF8,geoplugin_currencyConverter
104.193.225.250,206,1ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",,,,,,,US,United States,0,False,NA,North America,37.751,-97.822,1000,America/Chicago,USD,$,$,0.0
104.200.138.33,200,2ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",Toronto,Ontario,ON,Ontario,,,CA,Canada,0,False,NA,North America,43.623,-79.3936,100,America/Toronto,CAD,$,$,1.3039
104.200.142.196,200,2ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",Dallas,Texas,TX,Texas,,623,US,United States,0,False,NA,North America,33.0287,-96.6826,1000,America/Chicago,USD,$,$,0.0
104.200.142.220,200,1ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",Dallas,Texas,TX,Texas,,623,US,United States,0,False,NA,North America,33.0287,-96.6826,1000,America/Chicago,USD,$,$,0.0
104.218.128.194,200,1ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",Garland,Texas,TX,Texas,,623,US,United States,0,False,NA,North America,32.9219,-96.6214,20,America/Chicago,USD,$,$,0.0
104.218.78.12,200,2ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",Floresville,Texas,TX,Texas,,641,US,United States,0,False,NA,North America,29.1694,-98.1857,50,America/Chicago,USD,$,$,0.0
104.219.136.100,200,1ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",Natalia,Texas,TX,Texas,,641,US,United States,0,False,NA,North America,29.2134,-98.8579,20,America/Chicago,USD,$,$,0.0
104.219.136.105,200,2ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",Natalia,Texas,TX,Texas,,641,US,United States,0,False,NA,North America,29.2134,-98.8579,20,America/Chicago,USD,$,$,0.0
104.219.136.26,200,1ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",Hondo,Texas,TX,Texas,,641,US,United States,0,False,NA,North America,29.3462,-99.1408,20,America/Chicago,USD,$,$,0.0
104.219.136.34,200,2ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",Lytle,Texas,TX,Texas,,641,US,United States,0,False,NA,North America,29.2366,-98.7945,20,America/Chicago,USD,$,$,0.0
104.219.136.53,200,2ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",Lytle,Texas,TX,Texas,,641,US,United States,0,False,NA,North America,29.2366,-98.7945,20,America/Chicago,USD,$,$,0.0
104.219.136.67,200,2ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",Natalia,Texas,TX,Texas,,641,US,United States,0,False,NA,North America,29.2134,-98.8579,20,America/Chicago,USD,$,$,0.0
104.223.91.53,200,2ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",Atlanta,Georgia,GA,Georgia,,524,US,United States,0,False,NA,North America,33.7485,-84.3871,500,America/New_York,USD,$,$,0.0
104.223.91.55,200,1ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",Atlanta,Georgia,GA,Georgia,,524,US,United States,0,False,NA,North America,33.7485,-84.3871,500,America/New_York,USD,$,$,0.0
104.223.95.92,200,0ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",Atlanta,Georgia,GA,Georgia,,524,US,United States,0,False,NA,North America,33.7485,-84.3871,1000,America/New_York,USD,$,$,0.0
104.223.95.94,200,1ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",Atlanta,Georgia,GA,Georgia,,524,US,United States,0,False,NA,North America,33.7485,-84.3871,1000,America/New_York,USD,$,$,0.0
104.237.80.10,206,1ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",,,,,,,US,United States,0,False,NA,North America,37.751,-97.822,1000,America/Chicago,USD,$,$,0.0
104.237.80.102,206,1ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",,,,,,,US,United States,0,False,NA,North America,37.751,-97.822,1000,America/Chicago,USD,$,$,0.0
